Diff_Accel_X,Diff_Accel_Y,Diff_Accel_Z,Magnitude_Accel,Magnitude_Gyro,Diff_Mag_Gyro,Diff_Mag_Accel,Is_High_Accel,Is_High_Accel_2,Is_High_Accel_3
0.00125,0.00155,0.00015,1.095187011,0.083066239,0.072175508,0.090410289,1,1,1
0.00075,0.0021,0.00015,1.090312209,0.083066239,0.0,0.004874802,1,1,0
0.00055,0.0014,0.00035,1.045842521,0.089442719,0.00637648,0.044469687,1,1,1
0.0004,0.00085,0.00035,0.95810857,0.111803399,0.02236068,0.087733952,1,0,1
0.00035,0.0015,0.00035,1.051253384,0.084852814,0.026950585,0.093144814,1,1,1
0.0006,0.002,0.0001,1.031920421,0.09539392,0.010541106,0.019332963,1,1,0
0.0002,0.0001,0.0002,1.003318934,0.10198039,0.00658647,0.028601486,0,1,1
0.0009,0.00135,0.0003,0.996971798,0.136381817,0.034401427,0.006347137,1,1,0
0.0003,0.001,0.0001,0.996286399,0.174928557,0.03854674,0.000685399,1,1,0
0.0003,0.0009,0.0001,0.960901449,0.148996644,0.025931913,0.035384949,1,1,1
5e-05,0.0004,0.00025,1.006377746,0.164012195,0.01501555,0.045476297,1,1,1
0.0005,0.00065,0.0,0.981655717,0.148996644,0.01501555,0.024722029,1,1,1
0.0002,0.0001,0.0,0.991501286,0.112249722,0.036746923,0.009845569,0,1,0
5e-05,0.00055,0.0003,1.046589326,0.102469508,0.009780214,0.05508804,1,1,1
0.0002,0.0004,0.0002,0.998097055,0.106301458,0.00383195,0.048492271,1,1,1
0.00025,0.0007,0.0001,1.007006986,0.128840987,0.022539529,0.008909932,1,1,0
0.00025,0.00035,5e-05,1.003522574,0.082462113,0.046378875,0.003484413,1,1,0
0.0002,0.0011,5e-05,1.002832962,0.102469508,0.020007395,0.000689612,1,1,0
0.0001,0.00055,0.0001,0.989684889,0.092736185,0.009733323,0.013148073,1,1,0
0.0002,0.0008,0.0001,0.997745135,0.108166538,0.015430353,0.008060246,1,1,0
0.00045,0.0,0.0001,1.000398141,0.106301458,0.00186508,0.002653006,1,1,0
0.0004,0.00095,0.00015,0.993803778,0.111803399,0.005501941,0.006594363,1,1,0
0.00035,0.0012,0.00015,1.002869989,0.128062485,0.016259086,0.009066211,1,1,0
0.0002,0.0004,0.0001,0.993738926,0.131529464,0.00346698,0.009131063,1,1,0
0.00015,5e-05,0.0002,0.962685538,0.148660687,0.017131223,0.031053387,0,1,1
0.00085,0.00165,0.00035,0.991631017,0.18547237,0.036811682,0.028945478,1,1,1
0.0006,0.0015,0.00015,0.988530947,0.100995049,0.084477321,0.003100069,1,1,0
0.0001,5e-05,0.0,0.983529107,0.091104336,0.009890714,0.00500184,0,1,0
0.00015,0.0003,0.00015,1.005123785,0.106301458,0.015197122,0.021594678,1,1,0
0.0003,0.00025,0.00015,0.961324268,0.111803399,0.005501941,0.043799517,1,1,1
0.0003,0.00095,0.00015,0.977397645,0.139283883,0.027480484,0.016073377,1,1,0
5e-05,0.0008,0.00015,1.007576046,0.092736185,0.046547698,0.030178401,1,1,1
0.0005,0.0005,0.00015,1.002990327,0.115758369,0.023022184,0.00458572,1,1,0
0.0001,0.00015,0.0002,0.959595717,0.332415403,0.216657034,0.043394609,0,1,1
0.00095,0.00135,0.00015,0.94414259,0.115325626,0.217089777,0.015453127,1,0,0
0.00025,0.0,0.0001,0.952343931,0.117898261,0.002572635,0.00820134,0,0,0
0.00045,0.0007,5e-05,0.98147949,0.114455231,0.00344303,0.02913556,1,1,1
0.0005,0.00035,0.0002,1.044012173,0.128452326,0.013997094,0.062532682,1,1,1
0.0014,0.00135,0.0001,0.962913174,0.129614814,0.001162488,0.081098998,1,1,1
0.0004,0.0013,0.0005,1.075968922,0.092736185,0.036878629,0.113055748,1,1,1
0.0015,0.002,0.00105,0.951678939,0.169115345,0.07637916,0.124289984,1,0,1
0.0003,0.00065,0.0001,0.962420731,0.214009346,0.044894,0.010741793,1,1,0
0.0036,0.00205,0.00095,0.98188759,0.59849812,0.384488775,0.019466858,1,1,0
0.0002,5e-05,0.00015,1.018710644,0.147648231,0.45084989,0.036823054,0,1,1
0.00055,0.00135,0.0004,0.968458571,0.086023253,0.061624978,0.050252073,1,1,1
0.00055,0.00055,0.00025,1.044104389,0.106301458,0.020278205,0.075645818,1,1,1
0.0003,0.00045,0.0002,1.022213267,0.1396424,0.033340942,0.021891122,1,1,0
0.0,0.00065,0.0001,1.011281145,0.212367606,0.072725205,0.010932122,1,1,0
0.0019,0.00325,0.0004,0.832981708,0.163095064,0.049272542,0.178299437,1,0,1
0.0005,0.0005,0.00055,0.960659831,0.195448203,0.032353139,0.127678123,1,1,1
5e-05,0.00075,0.00015,0.996207668,0.092736185,0.102712018,0.035547836,1,1,1
5e-05,0.00035,0.0002,0.961426485,0.100995049,0.008258864,0.034781182,1,1,1
0.0005,5e-05,0.00015,1.010018501,0.13,0.029004951,0.048592016,1,1,1
0.00095,0.0011,0.0005,0.96197008,0.168226038,0.038226038,0.048048422,1,1,1
0.0007,0.00135,0.00015,0.949111591,0.100498756,0.067727282,0.012858489,1,0,0
0.00025,0.0004,0.0,0.962430023,0.111803399,0.011304643,0.013318432,1,1,0
0.00045,0.00035,0.0002,0.980895139,0.084852814,0.026950585,0.018465116,1,1,0
0.00065,0.0007,0.0001,0.982624912,0.098488578,0.013635764,0.001729773,1,1,0
0.0003,0.0004,0.0001,0.992451065,0.086023253,0.012465325,0.009826153,1,1,0
0.0002,0.00105,0.00025,0.944645178,0.110905365,0.024882112,0.047805887,1,0,1
